CPUID highest leaf    : [1bh]
Running as root       : [YES]
MSR reads supported   : [YES]
CPU pinning enabled   : [YES]
CPU supports zeroupper: [YES]
CPU supports AVX2     : [YES]
CPU supports AVX-512F : [YES]
CPU supports AVX-512VL: [YES]
CPU supports AVX-512BW: [YES]
CPU supports AVX-512CD: [YES]
cpuid = eax = 2, ebx = 292, ecx = 24000000, edx = 0
tsc_freq = 3504.0 MHz (from cpuid leaf 0x15)
CPU brand string: 11th Gen Intel(R) Core(TM) i9-11900K @ 3.50GHz
8 available CPUs: [0, 1, 2, 3, 4, 5, 6, 7]
8 physical cores: [0, 1, 2, 3, 4, 5, 6, 7]
Will test up to 8 CPUs
Cores | ID                  | Description                       | OVRLP3 |  Mops | A/M-ratio | A/M-MHz | M/tsc-ratio
1     | pause_only          | pause instruction                 |  1.000 |  3512 |      1.46 |    5106 |        1.00
1     | ucomis_clean        | scalar ucomis (w/ vzeroupper)     |  1.000 |  1266 |      1.46 |    5106 |        1.00
1     | ucomis_dirty        | scalar ucomis (no vzeroupper)     |  1.000 |  1266 |      1.46 |    5106 |        1.00
1     | scalar_iadd         | Scalar integer adds               |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_iadd         | 128-bit integer serial adds       |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx256_iadd         | 256-bit integer serial adds       |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx512_iadd         | 512-bit integer serial adds       |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_iadd16       | 128-bit integer serial adds zmm16 |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx256_iadd16       | 256-bit integer serial adds zmm16 |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx512_iadd16       | 512-bit integer serial adds zmm16 |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_iadd_t       | 128-bit integer parallel adds     |  1.000 | 15302 |      1.46 |    5106 |        1.00
1     | avx256_iadd_t       | 256-bit integer parallel adds     |  1.000 | 15300 |      1.46 |    5106 |        1.00
1     | avx128_mov_sparse   | 128-bit reg-reg mov               |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx256_mov_sparse   | 256-bit reg-reg mov               |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx512_mov_sparse   | 512-bit reg-reg mov               |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_merge_sparse | 128-bit reg-reg merge mov         |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx256_merge_sparse | 256-bit reg-reg merge mov         |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx512_merge_sparse | 512-bit reg-reg merge mov         |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_vshift       | 128-bit variable shift (vpsrlvd)  |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx256_vshift       | 256-bit variable shift (vpsrlvd)  |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx512_vshift       | 512-bit variable shift (vpsrlvd)  |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_vshift_t     | 128-bit variable shift (vpsrlvd)  |  1.000 | 10201 |      1.46 |    5106 |        1.00
1     | avx256_vshift_t     | 256-bit variable shift (vpsrlvd)  |  1.000 | 10200 |      1.46 |    5106 |        1.00
1     | avx512_vshift_t     | 512-bit variable shift (vpsrlvd)  |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_vlzcnt       | 128-bit lzcnt (vplzcntd)          |  1.000 |  1275 |      1.46 |    5106 |        1.00
1     | avx256_vlzcnt       | 256-bit lzcnt (vplzcntd)          |  1.000 |  1275 |      1.46 |    5106 |        1.00
1     | avx512_vlzcnt       | 512-bit lzcnt (vplzcntd)          |  1.000 |  1275 |      1.46 |    5106 |        1.00
1     | avx128_vlzcnt_t     | 128-bit lzcnt (vplzcntd)          |  1.000 | 10201 |      1.46 |    5106 |        1.00
1     | avx256_vlzcnt_t     | 256-bit lzcnt (vplzcntd)          |  1.000 | 10200 |      1.46 |    5106 |        1.00
1     | avx512_vlzcnt_t     | 512-bit lzcnt (vplzcntd)          |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_imul         | 128-bit integer muls (vpmuldq)    |  1.000 |  1020 |      1.46 |    5106 |        1.00
1     | avx256_imul         | 256-bit integer muls (vpmuldq)    |  1.000 |  1020 |      1.46 |    5106 |        1.00
1     | avx512_imul         | 512-bit integer muls (vpmuldq)    |  1.000 |  1020 |      1.46 |    5106 |        1.00
1     | avx128_fma_sparse   | 128-bit 64-bit sparse FMAs        |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx256_fma_sparse   | 256-bit 64-bit sparse FMAs        |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx512_fma_sparse   | 512-bit 64-bit sparse FMAs        |  1.000 |  5100 |      1.46 |    5106 |        1.00
1     | avx128_fma          | 128-bit serial DP FMAs            |  1.000 |  1275 |      1.46 |    5106 |        1.00
1     | avx256_fma          | 256-bit serial DP FMAs            |  1.000 |  1275 |      1.46 |    5106 |        1.00
1     | avx512_fma          | 512-bit serial DP FMAs            |  1.000 |  1275 |      1.46 |    5106 |        1.00
