padding	time taken	time taken (baseline)
0	1156704	2287878
2	1143577	2280402
4	1138102	2300361
6	1150682	2283211
8	1127028	2274162
10	1142719	2283987
12	1129760	2264480
14	1149354	2246662
16	1134360	2241017
18	1141485	2239195
20	1137443	2271467
22	1145257	2250305
24	1139291	2243574
26	1144278	2243226
28	1133350	2272896
30	1142157	2236182
32	1150552	2247321
34	1165585	2241551
36	1154235	2265606
38	1166340	2238316
40	1158661	2230321
42	1168485	2245319
44	1157274	2270973
46	1166025	2243725
48	1186337	2236526
50	1214891	2245055
52	1218421	2267656
54	1232270	2245039
56	1226036	2245613
58	1242362	2243912
60	1237460	2260977
62	1246447	2255785
64	1239038	2249317
66	1259021	2231354
68	1251765	2270852
70	1263655	2241549
72	1260607	2245191
74	1279666	2241619
76	1271232	2269285
78	1294567	2251695
80	1295803	2238621
82	1309323	2248603
84	1315129	2268584
86	1329779	2251449
88	1328983	2240303
90	1349844	2241976
92	1351724	2268387
94	1438202	2262932
96	1914163	2308675
98	2343223	2334089
100	2334945	2371502
102	2351939	2354408
104	2336337	2354756
106	2371276	2360610
108	2352379	2384337
110	2376291	2370355
112	2371529	2370692
114	2390083	2375656
116	2365494	2410792
118	2392790	2382717
120	2376916	2391825
122	2408819	2393879
124	2384808	2418955
126	2409762	2410154
128	2387266	2402519
130	2418337	2413233
132	2411382	2442915
134	2433374	2423551
136	2407207	2423340
138	2437822	2424938
140	2419351	2453933
142	2450623	2441771
144	2437691	2441774
146	2460748	2451402
148	2441256	2475782
150	2479736	2471277
152	2480032	2483723
154	2500722	2490791
156	2485827	2515537
158	2517467	2504360
160	2502869	2512660
162	2535756	2519130
164	2517609	2546036
166	2545540	2537279
168	2527300	2558433
170	2570530	2550919
172	2551639	2586883
174	2580954	2579714
176	2564208	2571230
178	2597903	2587969
180	2579791	2615021
182	2607650	2604817
184	2607933	2609949
186	2627748	2621567
188	2617627	2658298
190	2648676	2641021
192	2638192	2641382
194	2666453	2649251
196	2639989	2688676
198	2675747	2672781
200	2668636	2678033
202	2692706	2686674
204	2688281	2726538
206	2709681	2706539
208	2699829	2713976
210	2723031	2729930
212	2714781	2748758
214	2746722	2742833
216	2732992	2750883
218	2763534	2760728
220	2752369	2784572
222	2769888	2774654
224	2767859	2787440
226	2794477	2788369
228	2782133	2814881
230	2812403	2811343
232	2801541	2810307
234	2829600	2818760
236	2814678	2853624
238	2854866	2839112
240	2834537	2845969
242	2863063	2850737
244	2847874	2883610
246	2864058	2869798
248	2870079	2876463
250	2895181	2894407
252	2888757	2910495
254	2908273	2904081
256	2895645	2911096
258	2924843	2920587
260	2915213	2956983
262	2950455	2942825
264	2932147	2950559
266	2959861	2946311
268	2945542	2986713
270	2972781	2986172
272	2964279	2978254
274	2994316	2990623
276	2977026	3016308
278	3009850	3005495
280	2998584	3005247
282	3030102	3021282
284	3008597	3046580
286	3041249	3040547
288	3019036	3045242
290	3059088	3049071
292	3048771	3079459
294	3076638	3068468
296	3060327	3074777
298	3092758	3081091
300	3076915	3115015
302	3100499	3100072
304	3096301	3110834
306	3123761	3125482
308	3118428	3144528
310	3134500	3136811
312	3130763	3142617
314	3149823	3146518
316	3141335	3172578
318	3170841	3168003
320	3160618	3172353
322	3187505	3182974
324	3176439	3212653
326	3199963	3205255
328	3190671	3211850
330	3222372	3219646
332	3213250	3239905
334	3237776	3225251
336	3225629	3237614
338	3255188	3255423
340	3244321	3274140
342	3274593	3274675
344	3265084	3285612
346	3293035	3280325
348	3280959	3303228
350	3305665	3308714
352	3290739	3305721
354	3325733	3305354
356	3315010	3345858
358	3333750	3327367
360	3318996	3345664
362	3350330	3349128
364	3348064	3381479
366	3368912	3366339
368	3359527	3371551
370	3389776	3380925
372	3376288	3411743
374	3407309	3405421
376	3393938	3409128
378	3420375	3410234
380	3407676	3439150
382	3439246	3426398
384	3426864	3437573
386	3457327	3448056
388	3446627	3478423
390	3472864	3466042
392	3461301	3471498
394	3489629	3476291
396	3478606	3505228
398	3503736	3501335
