padding	time taken	time taken (baseline)
0	1152036	2283652
2	1148808	2282762
4	1138295	2304741
6	1145605	2286404
8	1133626	2281273
10	1142523	2285373
12	1131772	2273581
14	1148571	2246741
16	1138420	2246209
18	1144893	2250046
20	1135386	2272100
22	1149645	2250404
24	1133622	2246489
26	1146269	2248665
28	1133157	2265499
30	1144079	2243936
32	1131072	2252185
34	1155522	2240896
36	1160598	2269421
38	1159198	2250093
40	1155310	2244822
42	1164802	2241526
44	1164032	2271366
46	1169389	2248068
48	1161365	2246073
50	1172868	2241014
52	1177472	2271139
54	1211917	2246218
56	1211451	2244512
58	1220972	2242916
60	1222603	2265936
62	1235135	2247801
64	1235967	2244156
66	1248669	2235445
68	1240427	2272678
70	1252771	2257468
72	1248621	2249769
74	1258140	2253293
76	1261758	2263364
78	1268045	2249485
80	1262846	2250856
82	1278786	2257013
84	1271411	2274903
86	1283854	2252737
88	1283429	2241217
90	1294872	2248566
92	1291782	2267756
94	1302457	2252285
96	1293779	2251227
98	1314154	2246899
100	1311256	2280051
102	1392006	2287693
104	1455156	2300056
106	1711279	2316060
108	2241497	2366462
110	2341073	2353307
112	2334838	2349409
114	2353916	2352141
116	2337656	2381596
118	2369514	2373184
120	2358507	2378474
122	2372213	2375135
124	2364095	2414405
126	2372259	2393598
128	2361459	2396377
130	2393209	2400182
132	2377078	2429794
134	2406841	2416198
136	2380556	2411174
138	2410097	2414108
140	2388288	2443528
142	2420620	2421475
144	2407179	2423907
146	2429978	2423684
148	2411381	2463299
150	2433416	2441173
152	2418511	2437679
154	2448750	2440167
156	2427800	2475937
158	2450737	2460488
160	2438934	2460003
162	2463219	2460253
164	2440203	2493057
166	2476929	2479724
168	2457820	2477095
170	2484126	2479057
172	2463274	2512688
174	2494251	2498377
176	2482613	2495402
178	2491514	2495966
180	2479879	2529295
182	2504830	2515166
184	2499034	2506368
186	2523524	2520678
188	2501402	2542817
190	2532920	2533132
192	2513022	2537833
194	2536901	2540909
196	2508790	2558357
198	2549478	2548395
200	2531598	2550681
202	2560728	2550646
204	2532087	2580120
206	2562567	2568400
208	2545616	2562607
210	2574721	2580725
212	2555436	2610465
214	2587805	2587549
216	2566562	2577670
218	2603628	2596058
220	2578750	2618528
222	2593550	2620296
224	2576057	2634331
226	2616638	2636849
228	2586279	2669487
230	2620187	2660802
232	2599835	2654186
234	2627570	2654487
236	2619772	2676129
238	2640410	2674012
240	2615900	2678923
242	2650833	2679073
244	2638604	2707218
246	2660359	2693778
248	2656384	2695903
250	2681865	2699548
252	2664678	2721051
254	2715198	2723853
256	2709203	2721363
258	2726561	2736114
260	2728136	2767593
262	2754709	2766338
264	2733612	2746367
266	2771560	2770316
268	2754927	2801788
270	2782275	2783749
272	2778293	2792355
274	2798637	2790302
276	2783815	2815779
278	2828109	2825528
280	2805520	2817837
282	2824725	2821626
284	2824970	2866734
286	2854839	2846189
288	2833038	2848361
290	2876066	2869206
292	2854460	2884831
294	2889476	2876784
296	2879715	2890458
298	2901870	2886113
300	2882787	2909289
302	2924899	2927690
304	2906093	2913323
306	2929211	2931184
308	2936301	2954434
310	2949918	2946072
312	2930867	2947969
314	2970957	2960314
316	2957792	2984857
318	2979311	2984354
320	2982639	2982127
322	3000144	2978607
324	2982499	3000710
326	3022938	3015304
328	3014698	3013892
330	3021427	3015205
332	3023649	3048843
334	3044717	3030112
336	3032103	3027528
338	3060386	3050247
340	3056216	3080899
342	3077799	3065140
344	3073820	3068810
346	3085819	3078009
348	3077538	3094504
350	3119793	3095631
352	3095514	3092367
354	3125301	3104713
356	3126091	3141034
358	3137964	3130645
360	3117212	3126124
362	3163505	3146644
364	3139298	3159495
366	3168075	3157962
368	3173651	3167872
370	3178964	3169327
372	3170439	3186964
374	3206869	3186734
376	3184600	3191204
378	3215680	3188362
380	3212390	3220773
382	3236029	3213733
384	3211489	3211658
386	3252032	3235975
388	3238763	3222563
390	3266882	3212823
392	3254821	3228302
394	3275033	3225125
396	3266988	3253769
398	3311448	3251745
