padding	time taken	time taken (baseline)
0	1186609	2306361
2	1178788	2308796
4	1177813	2419040
6	1353964	2369911
8	1179020	2367183
10	1223016	2376936
12	1218915	2374532
14	1209780	2346568
16	1184448	2989449
18	1349696	2373733
20	1185221	2380127
22	1184918	2352474
24	1188572	3010884
26	1200183	2764252
28	1187676	2384411
30	1221450	2574131
32	1265402	2424525
34	1284547	2340401
36	1291767	2367817
38	1336690	3172218
40	1377906	2365803
42	1348849	2344618
44	1355079	2778767
46	1381845	2355432
48	1389948	2354479
50	1421663	2406666
52	1411594	3239782
54	1473387	2364167
56	1563289	2353691
58	1478508	2769906
60	1478812	2933838
62	2469709	2495988
64	2480910	2903872
66	2518133	2551078
68	2519544	2559244
70	2559435	2970803
72	2583520	2645077
74	2632134	2590983
76	2625821	2615545
78	2670528	3106717
80	2611940	3136518
82	2635129	2645321
84	2648678	2692682
86	2651117	3117229
88	2662764	2699097
90	2700762	2698375
92	2679082	2737314
94	4040415	3138981
96	2725202	2821395
98	3146442	3201645
100	2855072	2789170
102	2816042	4146290
104	3183512	3192062
106	2802992	2806715
108	2794928	3291667
110	3130787	3264434
112	2862180	3721841
114	2935653	2860645
116	3294094	3039665
118	3162871	2939102
120	2882862	3762608
122	3557875	2960924
124	3129246	2950404
126	2939914	2972373
128	2950052	2968821
130	3381025	2987698
132	2985828	3034760
134	2995732	2988471
136	2984499	3028963
138	3432930	3013694
140	3026125	3048707
142	3065899	3041828
144	3152730	3092154
146	3079160	3073635
148	3159845	3102472
150	3241087	3098085
152	3101032	3096570
154	3129242	3125500
156	3145537	3170700
158	3160216	3146840
160	3586388	3158678
162	3187429	3198146
164	3196831	3250587
166	3219070	3212275
168	4007754	3227640
170	3234749	3229760
172	3238313	3268882
174	3279358	3265146
176	3258484	3281617
178	3297026	3277851
180	3300104	3328594
182	3309848	3324299
184	3335730	3344961
186	3348178	3418807
188	3345965	3441025
190	3376797	3396685
192	3421688	3416093
194	3419824	3397599
196	3406476	3431177
198	3462447	3447409
200	3762286	3445648
202	3459274	3452400
204	3440207	3502794
206	3477611	3494802
208	3485107	3666837
210	3515635	3600083
212	3616387	3568698
214	3554496	3560763
216	3547999	3580465
218	3579345	3589133
220	3562688	3610268
222	3588839	3611785
224	3638573	3607031
226	3699507	3609411
228	3656988	3652459
230	3681989	3656700
232	3642705	3658604
234	3677777	3671244
236	3688483	3719127
238	3733093	3706384
240	3765334	3713949
242	3731219	3733319
244	3715916	3765922
246	3757708	3762481
248	3771519	3768689
250	3808363	3777158
252	3793978	3812522
254	3812994	3809017
256	3948427	3822308
258	4777224	4212746
260	4158919	3871616
262	3864611	3869204
264	4376898	4982205
266	4127869	3897369
268	4264091	3934387
270	4087833	4793791
272	4127309	3959001
274	4094641	3955766
276	4220988	4408980
278	4043593	3982157
280	4028656	4399260
282	4013468	4002926
284	4008129	4446391
286	4055455	4030191
288	4076349	4465813
290	4110927	4060585
292	4102127	5080186
294	4434539	4096604
296	4120440	4098912
298	4161316	4538978
300	4787377	4567494
302	4199480	4963008
304	4163601	4167301
306	4647028	5450512
308	4194027	4225761
310	4421419	4613941
312	4243464	4638322
314	4263057	4611096
316	4821439	5011212
318	4247613	4315495
320	4292672	4268341
322	4639811	4986768
324	4300981	5543505
326	4324554	4769344
328	4296077	4349589
330	4349208	4455495
332	4349844	4381172
334	4369301	4388103
336	4350787	4369555
338	4434331	4398970
340	4385679	4425267
342	4409566	4419896
344	4419213	5260243
346	4442958	4465113
348	4420296	4493931
350	4462386	4471351
352	4449295	4471658
354	4518575	4493384
356	4497278	5287682
358	4520722	4517238
360	4525402	4630184
362	4581534	5437104
364	4564271	4585764
366	4569504	4576051
368	4975024	4594890
370	4665970	4607508
372	4654432	4633046
374	4663479	4630624
376	4628704	4647126
378	4711423	4655361
380	4660307	4692157
382	4682973	4708744
384	4676044	4740508
386	4953105	4736607
388	4752539	4740117
390	4745539	4739723
392	5335945	4742947
394	5409014	4750455
396	4793923	4780857
398	5119085	4782518
