padding	time taken	time taken (baseline)
0	1171470	2318048
2	1176438	2310047
4	1157295	2337954
6	1160461	2318282
8	1151058	2309766
10	1166416	2316955
12	1146003	2302092
14	1161144	2273841
16	1158469	2274057
18	1175416	2281220
20	1154081	2305376
22	1167442	2282038
24	1156061	2273647
26	1159003	2281059
28	1163038	2298591
30	1184416	2279348
32	1167286	2282410
34	1175223	2279693
36	1182982	2299773
38	1188480	2275818
40	1173497	2284816
42	1188260	2279901
44	1220088	2305644
46	1227515	2274522
48	1227601	2278116
50	1251076	2270211
52	1242032	2301899
54	1249041	2278167
56	1256972	2279242
58	1270821	2267116
60	1261622	2306124
62	1278838	2288401
64	1279440	2274099
66	1279338	2267408
68	1289139	2295539
70	1295492	2284492
72	1294349	2279374
74	1306062	2283918
76	1307163	2305040
78	1312539	2280375
80	1314653	2274544
82	1329723	2290748
84	1335116	2328546
86	1444569	2338129
88	1851819	2362988
90	2281703	2375075
92	2359756	2404588
94	2392008	2394748
96	2363966	2401091
98	2396535	2398452
100	2377708	2423271
102	2405565	2413725
104	2408442	2416803
106	2419133	2418718
108	2409694	2457339
110	2427684	2429330
112	2415414	2424227
114	2445920	2428359
116	2414122	2466953
118	2459562	2450076
120	2427194	2448438
122	2448978	2452977
124	2447685	2488269
126	2460233	2474191
128	2460163	2474312
130	2488114	2474205
132	2460044	2518610
134	2500481	2494538
136	2465509	2491311
138	2504656	2498713
140	2485418	2527587
142	2502962	2522740
144	2489892	2510516
146	2519921	2521408
148	2494244	2546867
150	2523930	2526795
152	2511640	2524248
154	2535284	2534281
156	2522103	2568458
158	2546709	2548300
160	2531989	2554593
162	2552920	2553950
164	2533102	2592009
166	2564672	2564139
168	2548756	2565879
170	2559164	2580468
172	2566127	2612099
174	2574003	2582633
176	2567551	2597621
178	2592089	2590552
180	2576868	2622429
182	2609834	2620738
184	2592608	2605894
186	2612664	2614135
188	2604048	2638694
190	2628547	2632597
192	2600469	2631019
194	2634991	2641297
196	2618351	2668955
198	2639087	2642861
200	2627052	2651872
202	2653743	2666461
204	2626363	2680343
206	2665840	2673991
208	2652731	2681116
210	2667064	2681614
212	2667923	2703810
214	2688544	2702648
216	2664141	2691835
218	2705053	2703995
220	2688381	2733967
222	2694246	2707800
224	2716808	2714715
226	2723456	2723840
228	2698411	2749431
230	2721834	2732090
232	2763529	2730089
234	2750855	2741337
236	2745765	2776246
238	2770792	2759830
240	2749856	2759205
242	2777959	2766116
244	2767059	2781971
246	2764237	2786843
248	2746253	2778154
250	2774981	2785639
252	2756560	2805602
254	2769362	2792073
256	2766487	2794478
258	2797282	2798487
260	2776609	2819697
262	2809340	2814838
264	2796142	2814737
266	2804599	2815367
268	2803117	2847485
270	2829047	2841213
272	2817961	2837816
274	2830311	2846119
276	2829768	2875967
278	2851226	2855098
280	2834150	2856436
282	2871561	2864159
284	2850003	2895634
286	2882272	2880714
288	2846020	2879401
290	2883038	2890023
292	2876214	2905076
294	2889249	2899239
296	2891921	2903030
298	2913444	2936158
300	2891880	2940140
302	2910345	2928017
304	2919040	2921274
306	2935246	2929727
308	2915037	2961214
310	2929559	2945559
312	2917966	2962725
314	2949178	2953473
316	2942390	2983472
318	2959334	2966078
320	2951527	2972352
322	2979335	2969659
324	2960634	2999550
326	2972615	2992191
328	2968146	2998190
330	2999285	3001264
332	2985878	3029224
334	2997699	3019397
336	2991260	3018841
338	3014846	3021576
340	3002213	3048318
342	3023958	3030324
344	3015281	3040684
346	3034658	3044527
348	3017994	3061497
350	3045158	3053165
352	3037440	3056384
354	3063888	3067949
356	3045190	3093052
358	3064659	3075293
360	3052524	3082141
362	3078399	3087807
364	3074754	3114095
366	3088461	3110371
368	3086181	3097359
370	3109740	3111676
372	3087681	3130512
374	3115481	3125776
376	3089019	3124611
378	3120671	3125480
380	3120285	3158835
382	3143453	3142170
384	3116700	3153204
386	3150772	3160825
388	3140960	3173469
390	3166365	3173671
392	3149866	3169473
394	3163463	3186015
396	3160734	3201326
398	3180916	3185423
