padding	time taken	time taken (baseline)
0	1171713	2311199
2	1167420	2311539
4	1155762	2346191
6	1158963	2305387
8	1151412	2308509
10	1164229	2305662
12	1154511	2302227
14	1167217	2277718
16	1150219	2284385
18	1162430	2275700
20	1147324	2298495
22	1161848	2281856
24	1155261	2274305
26	1166101	2277582
28	1155237	2306740
30	1163406	2276910
32	1155459	2275631
34	1162286	2269214
36	1157160	2307577
38	1171028	2271395
40	1178846	2271223
42	1183979	2281837
44	1176217	2301937
46	1187915	2279356
48	1174809	2271380
50	1185619	2270589
52	1182755	2293860
54	1181972	2281824
56	1182426	2279598
58	1187101	2277097
60	1203778	2297575
62	1227686	2281095
64	1219627	2269128
66	1234228	2267005
68	1227343	2297891
70	1240071	2278464
72	1239093	2277952
74	1246012	2274731
76	1250373	2302719
78	1259047	2277712
80	1251700	2268319
82	1273065	2273414
84	1262030	2291222
86	1269775	2277294
88	1265258	2280538
90	1274373	2283257
92	1279131	2295376
94	1294318	2279195
96	1282364	2276437
98	1297833	2276069
100	1296700	2298817
102	1300871	2284975
104	1304848	2279713
106	1317129	2277642
108	1307721	2293743
110	1322420	2277498
112	1323508	2273089
114	1329583	2274262
116	1325358	2301723
118	1336410	2276796
120	1330251	2296030
122	1402932	2304989
124	1870800	2337141
126	2357354	2327633
128	2345685	2352868
130	2371567	2355891
132	2347134	2385644
134	2379193	2366346
136	2364196	2370539
138	2377729	2377910
140	2361209	2400773
142	2393204	2379771
144	2373722	2384701
146	2390866	2394098
148	2380518	2415120
150	2400747	2399814
152	2393159	2402287
154	2415572	2405289
156	2393129	2434318
158	2418740	2416573
160	2416781	2415789
162	2428993	2414644
164	2410442	2450403
166	2428654	2430691
168	2426278	2432650
170	2444870	2431823
172	2438162	2466813
174	2449367	2451315
176	2436658	2452539
178	2455087	2450128
180	2441404	2475313
182	2464608	2469559
184	2457347	2468213
186	2479067	2468015
188	2454768	2497643
190	2494247	2486147
192	2472184	2477417
194	2492097	2495128
196	2474104	2513787
198	2508100	2500594
200	2490331	2499504
202	2510322	2506779
204	2495805	2534078
206	2527827	2512045
208	2505864	2512240
210	2536951	2527587
212	2515486	2550931
214	2545859	2536406
216	2526444	2532562
218	2539467	2535418
220	2533711	2562326
222	2554126	2552925
224	2533358	2554264
226	2559823	2553852
228	2551210	2582877
230	2567895	2571700
232	2556434	2567226
234	2578546	2567162
236	2579219	2597916
238	2593226	2584011
240	2575160	2585144
242	2594120	2590744
244	2576163	2615223
246	2599718	2602553
248	2593674	2603224
250	2611228	2613596
252	2593903	2633410
254	2613397	2613946
256	2612082	2630572
258	2633087	2633813
260	2618265	2645459
262	2641130	2636951
264	2623029	2635118
266	2642241	2638884
268	2636073	2662189
270	2648607	2650648
272	2634779	2652554
274	2662383	2659392
276	2644924	2682432
278	2674395	2664992
280	2665914	2670136
282	2678814	2671647
284	2658012	2696954
286	2689367	2686087
288	2667397	2687928
290	2695462	2686996
292	2679208	2717108
294	2701050	2698321
296	2689276	2696877
298	2714403	2709541
300	2689336	2727471
302	2720853	2714241
304	2713692	2719537
306	2718944	2723720
308	2715933	2748018
310	2739399	2739998
312	2719334	2727696
314	2740988	2732814
316	2729441	2762101
318	2747211	2750343
320	2740196	2757706
322	2761628	2750225
324	2740917	2777219
326	2772195	2769893
328	2750957	2765265
330	2777891	2770385
332	2758052	2788363
334	2783110	2778161
336	2769553	2783726
338	2780931	2793187
340	2785249	2821881
342	2795308	2799707
344	2775164	2803302
346	2809235	2811022
348	2791560	2834733
350	2822502	2818856
352	2802440	2813373
354	2830516	2824525
356	2813369	2858210
358	2829617	2833433
360	2816305	2842060
362	2837297	2841334
364	2825844	2862261
366	2856112	2859344
368	2845731	2854575
370	2863616	2868180
372	2843240	2877877
374	2876309	2875034
376	2856154	2888677
378	2869350	2873332
380	2858704	2894730
382	2890526	2873250
384	2874668	2888145
386	2884935	2902460
388	2883637	2925296
390	2901797	2900469
392	2885954	2903888
394	2906410	2910010
396	2900469	2936793
398	2911876	2917650
