padding	time taken	time taken (baseline)
0	1179619	2299658
2	1171485	2293753
4	1156958	2325469
6	1164140	2303928
8	1145138	2298638
10	1150732	2296126
12	1155690	2279431
14	1187223	2264135
16	1176522	2261711
18	1188383	2266309
20	1178216	2285444
22	1281708	2260480
24	1271244	2259429
26	1299272	2253605
28	1286046	2280490
30	1301514	2256089
32	1299554	2261530
34	1319944	2251272
36	1314882	2276709
38	1327374	2256901
40	1328121	2256343
42	2436315	2431098
44	2419815	2456119
46	2474559	2446089
48	2454416	2454308
50	2477845	2454719
52	2465186	2491489
54	2478003	2471891
56	2478067	2485268
58	2508187	2498193
60	2486381	2523562
62	2531895	2514197
64	2500158	2519257
66	2534623	2517187
68	2532325	2557831
70	2958299	2553002
72	2545907	2541184
74	2579696	2567924
76	2564610	2589445
78	3308014	2577672
80	2684265	2589865
82	2597104	2592085
84	2606143	2624633
86	2612076	2615340
88	2613611	2616153
90	2656365	2621698
92	2638457	2660080
94	2910607	2642292
96	3420364	2654512
98	2756820	2660458
100	2910493	2691188
102	2935278	2681305
104	2676291	2690946
106	3044444	2688215
108	3107489	2725193
110	2724960	2718489
112	3212125	2715906
114	2763726	2729986
116	2734673	2759693
118	2752738	2747557
120	2758378	2753432
122	3314766	2771293
124	2928749	2799091
126	3149070	2784125
128	2990720	2791685
130	3148788	2796641
132	2828965	2817071
134	2852588	2819328
136	2830901	2824139
138	3120825	2830676
140	2861052	2855326
142	2887280	2850094
144	2860110	2854938
146	2887807	2855094
148	3286645	2890778
150	3096229	2873182
152	3213140	2882874
154	3101438	2888787
156	3206631	2925172
158	3058023	2911847
160	2999292	2916712
162	2936195	2923867
164	3005581	2957972
166	2961402	2947460
168	2937598	2952501
170	2974385	2962828
172	2964704	2996750
174	3201871	2977755
176	3122426	2978928
178	3020551	2999687
180	2998023	3025917
182	3080110	3014565
184	3019692	3013763
186	3036357	3029243
188	3104976	3051571
190	3052946	3051377
192	3029819	3052735
194	3113827	3085281
196	3063498	3092014
198	3123147	3082485
200	3120644	3129245
202	3095336	3106063
204	3238267	3155972
206	3278645	3133003
208	3275942	3141077
210	3187781	3147884
212	3145868	3163642
214	3186228	3148418
216	3169592	3152534
218	3449119	3155918
220	3147476	3188028
222	3182716	3174043
224	3204089	3184965
226	3199451	3192330
228	3184643	3216858
230	3659940	3214562
232	3204997	3218700
234	3236751	3223509
236	3707146	3253406
238	3241163	3246290
240	3229819	3246120
242	3270040	3254924
244	3255996	3285904
246	3277895	3280411
248	3278351	3277040
250	3299993	3286286
252	3286378	3312596
254	3310589	3310291
256	3305716	3318584
258	3332974	3320626
260	3320892	3348486
262	3352789	3344216
264	3339431	3340366
266	3371191	3351473
268	3355259	3397129
270	3388837	3383489
272	3376321	3380698
274	3629021	3386683
276	3637743	3486972
278	3477994	3408592
280	3412229	3418856
282	3465600	3423912
284	3422020	3452931
286	3500381	3435529
288	3451534	3450088
290	3462839	3447232
292	3452831	3477349
294	3589012	3473336
296	3575483	3483877
298	3532036	3494536
300	3528467	3524942
302	3525258	3510647
304	3512003	3523116
306	3648697	3539208
308	3524192	3551030
310	3553206	3537950
312	3537553	3549283
314	3556579	3560138
316	3559682	3582828
318	3572987	3580758
320	3562206	3583555
322	3600711	3586795
324	3591862	3616419
326	3610409	3605610
328	3591081	3607198
330	3633326	3618742
332	3615543	3642910
334	3638038	3634929
336	3635564	3641527
338	3659682	3652914
340	3646543	3682531
342	3670709	3665227
344	3661449	3680362
346	3688430	3689767
348	3680756	3707398
350	3708923	3701473
352	3704116	3705432
354	3727205	3712967
356	3717546	3746915
358	3726870	3728599
360	3728373	3738324
362	3754704	3746816
364	3743208	3780496
366	3771101	3773179
368	3761701	3773340
370	3790311	3791349
372	3774783	3811923
374	3804157	3798068
376	3790475	3800590
378	3819381	3809697
380	3804182	3837287
382	3846091	3823758
384	3828120	3835790
386	3846767	3843807
388	3851705	3873587
390	4097512	3862496
392	3994332	3874216
394	3926051	3872476
396	3965557	3913528
398	3924312	3897591
