padding	time taken	time taken (baseline)
0	1170347	2311999
2	1159677	2302882
4	1144559	2325332
6	1154472	2300670
8	1144415	2296760
10	1155667	2305407
12	1142167	2292791
14	1166298	2275899
16	1158499	2259394
18	1158499	2267821
20	1145994	2292272
22	1163391	2272926
24	1147857	2264352
26	1151786	2266982
28	1165963	2292587
30	1170726	2265838
32	1163508	2271179
34	1171673	2260029
36	1179134	2299553
38	1176326	2274473
40	1162766	2269186
42	1186551	2270256
44	1211668	2289718
46	1225672	2283270
48	1222626	2270247
50	1239726	2257830
52	1233068	2288539
54	1246461	2266622
56	1247906	2271553
58	1253935	2258689
60	1252158	2289766
62	1273430	2266921
64	1259774	2268519
66	1275016	2261970
68	1279844	2286385
70	1288679	2268290
72	1282917	2273192
74	1301668	2272121
76	1296672	2286088
78	1301182	2265355
80	1309051	2269697
82	1318062	2276275
84	1324146	2300461
86	1439723	2323873
88	1792377	2352913
90	2277559	2360351
92	2340047	2390575
94	2366116	2381922
96	2348805	2382017
98	2392008	2395893
100	2372305	2409776
102	2385104	2400687
104	2374568	2398976
106	2399498	2404975
108	2393323	2440882
110	2414861	2424241
112	2406549	2422509
114	2422522	2423710
116	2399223	2453038
118	2438287	2436670
120	2416937	2437062
122	2430317	2446735
124	2428959	2477527
126	2443457	2459502
128	2445452	2461997
130	2461000	2469525
132	2440538	2494473
134	2479138	2488260
136	2446220	2476883
138	2479008	2481036
140	2471421	2515576
142	2496021	2500561
144	2492157	2505906
146	2499148	2502043
148	2482824	2527921
150	2506903	2520433
152	2486149	2518798
154	2521652	2517697
156	2510412	2554289
158	2522419	2527764
160	2517755	2539176
162	2536868	2539483
164	2520242	2582754
166	2561699	2561660
168	2531021	2556396
170	2554056	2571904
172	2544901	2593111
174	2562300	2573174
176	2556122	2577838
178	2575536	2589458
180	2561429	2601202
182	2587200	2591892
184	2574436	2597762
186	2589949	2601899
188	2585871	2632840
190	2624371	2614449
192	2592785	2616263
194	2623460	2633790
196	2610607	2653373
198	2628516	2643733
200	2614274	2641270
202	2638220	2650554
204	2634699	2677394
206	2658224	2651229
208	2632250	2656753
210	2668867	2664951
212	2653675	2685443
214	2668124	2681736
216	2654398	2686261
218	2693742	2684432
220	2665380	2706352
222	2684204	2694996
224	2673546	2705822
226	2701747	2707657
228	2682726	2725058
230	2711378	2717306
232	2688274	2725817
234	2716357	2726624
236	2712385	2749952
238	2725786	2744612
240	2716739	2734651
242	2742155	2743382
244	2717155	2773305
246	2733916	2764993
248	2742676	2760961
250	2762476	2764760
252	2737104	2791191
254	2777034	2782049
256	2763572	2777823
258	2776670	2788999
260	2775785	2806542
262	2807730	2796579
264	2773622	2805182
266	2802259	2799461
268	2785607	2836346
270	2829689	2824936
272	2805704	2822063
274	2830977	2833960
276	2814352	2858278
278	2831631	2848853
280	2826365	2841092
282	2850855	2847341
284	2831038	2873383
286	2863491	2869402
288	2843745	2873657
290	2870966	2866393
292	2858493	2905489
294	2883249	2877957
296	2872286	2890474
298	2891635	2893764
300	2884202	2920887
302	2897320	2913914
304	2897743	2915586
306	2915493	2927433
308	2907267	2942992
310	2923799	2932810
312	2918043	2933505
314	2932954	2945277
316	2922758	2965534
318	2951073	2962246
320	2932021	2949404
322	2958772	2963307
324	2944459	2985651
326	2975252	2981933
328	2951699	2976588
330	2989322	2996012
332	2978524	3007787
334	2994711	2987951
336	2967922	3002710
338	3004902	3009064
340	2994020	3027901
342	3013377	3012000
344	2996863	3021916
346	3027193	3029028
348	3015187	3048294
350	3033049	3043652
352	3022012	3041870
354	3050439	3054068
356	3030658	3075723
358	3055734	3062189
360	3032884	3058963
362	3063393	3072422
364	3057929	3103427
366	3077307	3087007
368	3058960	3093104
370	3094392	3087615
372	3079395	3127479
374	3104823	3105002
376	3079880	3115435
378	3111854	3113295
380	3084540	3164367
382	3121047	3130005
384	3109656	3127810
386	3132432	3142667
388	3131508	3169723
390	3149262	3154816
392	3132576	3152171
394	3156587	3165313
396	3139777	3186680
398	3174563	3166625
