padding	time taken	time taken (baseline)
0	1166142	2299410
2	1155914	2301639
4	1146727	2328656
6	1154724	2290068
8	1144792	2294186
10	1157945	2297377
12	1148586	2286913
14	1158137	2264090
16	1169105	2256955
18	1175894	2260878
20	1171548	2284421
22	1176148	2269432
24	1209421	2263360
26	1235497	2264957
28	1246957	2291271
30	1260621	2260654
32	1268474	2259389
34	1298793	2262196
36	1311921	2281006
38	1333476	2265279
40	1347883	2260099
42	1362917	2255708
44	1370903	2289775
46	1404327	2276464
48	2322676	2360425
50	2364892	2357520
52	2365684	2404910
54	2390584	2393638
56	2396910	2411985
58	2424193	2411132
60	2423412	2461834
62	2463390	2463224
64	2463501	2489072
66	2490647	2478184
68	2495632	2535405
70	2528833	2530831
72	2524625	2550872
74	2555297	2553058
76	2557632	2604273
78	2591391	2598931
80	2594312	2615424
82	2625039	2622632
84	2620329	2668352
86	2661085	2659509
88	2659419	2678410
90	2694680	2686104
92	2689801	2735229
94	2717867	2739308
96	2712374	2756008
98	2762177	2749865
100	2753314	2801642
102	2792313	2791928
104	2798648	2812569
106	2831248	2816811
108	2828797	2869147
110	2857054	2861951
112	2860363	2878611
114	2889061	2894523
116	2884709	2936945
118	2930535	2924306
120	2921208	2942685
122	2958104	2951042
124	2958551	2999423
126	2983064	2994845
128	2989591	3004656
130	3024021	3016392
132	3020406	3059286
134	3063019	3067421
136	3047123	3078086
138	3094495	3080494
140	3086522	3131886
142	3131168	3123353
144	3116438	3140648
146	3152814	3155510
148	3148699	3210877
150	3186913	3211395
152	3192162	3206399
154	3227450	3227407
156	3220649	3265260
158	3262188	3278594
160	3250768	3281827
162	3290483	3283062
164	3282902	3335119
166	3318463	3321044
168	3325804	3340820
170	3356534	3357985
172	3351170	3402710
174	3388107	3390023
176	3384042	3405952
178	3412033	3423830
180	3411995	3458622
182	3451990	3456800
184	3452206	3467489
186	3481527	3487585
188	3485360	3530754
190	3521630	3521619
192	3517515	3558491
194	3556760	3553245
196	3546516	3589594
198	3581053	3590103
200	3583943	3607202
202	3615272	3619696
204	3609770	3659153
206	3651945	3658253
208	3636579	3681322
210	3688653	3681973
212	3682725	3725829
214	3715790	3723603
216	3707859	3740388
218	3750583	3742614
220	3752970	3787567
222	3768868	3781196
224	3779347	3803601
226	3814510	3809275
228	3815059	3846073
230	3842235	3855721
232	3847013	3869166
234	3877243	3870331
236	3881892	3917567
238	3920291	3914699
240	3901756	3937923
242	3945102	3941339
244	3942804	3979107
246	3969538	3979993
248	3966062	3993657
250	4012598	3998556
252	4005274	4047177
254	4047095	4038988
256	4042468	4067174
258	4069501	4075323
260	4075895	4111902
262	4107275	4108840
264	4097449	4126274
266	4142682	4134646
268	4138650	4185898
270	4168264	4177764
272	4161250	4192154
274	4203694	4196459
276	4202571	4248983
278	4238209	4233429
280	4233360	4245896
282	4268726	4264377
284	4265877	4307455
286	4301755	4309903
288	4292250	4328486
290	4330548	4326326
292	4332595	4375038
294	4361381	4373500
296	4372922	4385042
298	4402450	4395040
300	4393708	4447218
302	4426739	4435973
304	4432727	4447326
306	4459038	4461342
308	4461890	4500679
310	4491821	4500453
312	4486563	4508363
314	4525911	4518558
316	4525635	4571134
318	4565374	4560542
320	4552113	4575239
322	4597932	4599433
324	4593493	4632131
326	4638309	4633736
328	4628643	4650100
330	4663257	4665617
332	4667846	4700590
334	4692266	4696682
336	4684464	4713805
338	4721727	4721513
340	4729596	4763099
342	4751397	4754535
344	4749116	4773396
346	4784392	4777556
348	4781464	4818231
350	4817526	4820549
352	4811736	4835589
354	4858419	4848776
356	4839352	4897074
358	4882349	4888116
360	4876184	4917076
362	4923877	4919180
364	4928292	4971101
366	4961984	4962629
368	4949315	4986717
370	4986714	4989319
372	4982746	5018287
374	5024198	5025041
376	5017854	5035186
378	5045542	5048011
380	5045321	5075714
382	5067289	5074974
384	5068582	5096211
386	5103402	5095356
388	5108070	5144985
390	5146706	5144982
392	5129895	5165106
394	5170688	5168140
396	5173528	5226031
398	5214386	5210832
