padding	time taken	time taken (baseline)
0	1168104	2328237
2	1162689	2310485
4	1160267	2340332
6	1166378	2315212
8	1149931	2305260
10	1175411	2314544
12	1176959	2300825
14	1177697	2288641
16	1172851	2276740
18	1221143	2279817
20	1216427	2309364
22	1232744	2281024
24	1230357	2279945
26	1250523	2275712
28	1236677	2306915
30	1253847	2271877
32	1250085	2275638
34	1260560	2280513
36	1420340	2363812
38	2374235	2384537
40	2360482	2374708
42	2381188	2386477
44	2368034	2407207
46	2388295	2393903
48	2394433	2403527
50	2413007	2405816
52	2382731	2439422
54	2423071	2422432
56	2408296	2422485
58	2433935	2425967
60	2414305	2444140
62	2426456	2444594
64	2421549	2434411
66	2448340	2441117
68	2432562	2471141
70	2458802	2443165
72	2437274	2461414
74	2465075	2462279
76	2450832	2487262
78	2473536	2486164
80	2473053	2492508
82	2491065	2495316
84	2484384	2522009
86	2493623	2499646
88	2487422	2518478
90	2523852	2511912
92	2495970	2527498
94	2519622	2536118
96	2511094	2523128
98	2535449	2529357
100	2523947	2570637
102	2536815	2542504
104	2524488	2554079
106	2564134	2564591
108	2538987	2574973
110	2561422	2569656
112	2563533	2572156
114	2572882	2571132
116	2561334	2612651
118	2588090	2600349
120	2576880	2585651
122	2607146	2611297
124	2587370	2618505
126	2600170	2613156
128	2610975	2624146
130	2623330	2617611
132	2601795	2650820
134	2632587	2645761
136	2618610	2627319
138	2643705	2645080
140	2627142	2679527
142	2650070	2658546
144	2642643	2655057
146	2670933	2671007
148	2650974	2695108
150	2673805	2676460
152	2677129	2688210
154	2685139	2686047
156	2674402	2719589
158	2694794	2707153
160	2694474	2702389
162	2703464	2708849
164	2694936	2742737
166	2723747	2720705
168	2700737	2731020
170	2729976	2744186
172	2725804	2762911
174	2742816	2739086
176	2727081	2746808
178	2752014	2761705
180	2728959	2775001
182	2759030	2765727
184	2749352	2773361
186	2763552	2776691
188	2760096	2789959
190	2794281	2798329
192	2775245	2791775
194	2791580	2796304
196	2791931	2826683
198	2809213	2814162
200	2790322	2817764
202	2818604	2820011
204	2808472	2854398
206	2829225	2830493
208	2811732	2832259
210	2852684	2861673
212	2830626	2866330
214	2846077	2864717
216	2844917	2857603
218	2870062	2868943
220	2842374	2897898
222	2857540	2873548
224	2857788	2885058
226	2893545	2884578
228	2858016	2910403
230	2891408	2908614
232	2883547	2912095
234	2898433	2908842
236	2904614	2932656
238	2921772	2930527
240	2908799	2933875
242	2926050	2937564
244	2914578	2953676
246	2940500	2941209
248	2924768	2950037
250	2950940	2958848
252	2946175	2975218
254	2967398	2972747
256	2945954	2974678
258	2981230	2974326
260	2963361	2993427
262	2984986	3002522
264	2978615	2988892
266	3000232	2995309
268	2984965	3027492
270	3003285	3023550
272	3004815	3021082
274	3020010	3023848
276	3011618	3041213
278	3034039	3038818
280	3029004	3034673
282	3041494	3041205
284	3031752	3062835
286	3059356	3054947
288	3037228	3062403
290	3066970	3067167
292	3052139	3087339
294	3076006	3074863
296	3067065	3074885
298	3092090	3100237
300	3083545	3113067
302	3091206	3102254
304	3088776	3111406
306	3109034	3114287
308	3098280	3136331
310	3122365	3127594
312	3118494	3134991
314	3130078	3136048
316	3114772	3157072
318	3138211	3146288
320	3124474	3143391
322	3154075	3161437
324	3139218	3183167
326	3164839	3167019
328	3150026	3164660
330	3181885	3182126
332	3162651	3209097
334	3179708	3190166
336	3172769	3198631
338	3206302	3206917
340	3189802	3223245
342	3209068	3215522
344	3192550	3216139
346	3224498	3221992
348	3211155	3240971
350	3228461	3232033
352	3216255	3236475
354	3243852	3240663
356	3227893	3288469
358	3241780	3261503
360	3247637	3255249
362	3261022	3257955
364	3245189	3290356
366	3267682	3288481
368	3264284	3280828
370	3284038	3300153
372	3261588	3309104
374	3302953	3300613
376	3273681	3305832
378	3302265	3310558
380	3303333	3326271
382	3314903	3334269
384	3300207	3317195
386	3333870	3321078
388	3314333	3361000
390	3342708	3353293
392	3334845	3341078
394	3344577	3356376
396	3333095	3377682
398	3358371	3365735
