padding	time taken	time taken (baseline)
0	1131348	2260338
2	1139233	2248046
4	1118632	2276980
6	1138415	2244849
8	1120451	2243870
10	1138901	2233035
12	1126459	2245146
14	1137168	2217169
16	1150246	2218089
18	1157071	2206572
20	1148993	2235117
22	1162927	2216731
24	1164953	2221563
26	1178918	2215334
28	1175273	2232034
30	1181453	2212363
32	1177619	2208064
34	1194140	2211393
36	1195082	2237806
38	1205133	2217781
40	1199776	2218751
42	1211185	2213842
44	1222091	2251931
46	1312136	2221397
48	2264381	2250926
50	2289969	2253850
52	2274204	2295289
54	2315872	2261362
56	2299877	2262211
58	2316372	2259836
60	2304374	2286324
62	2330809	2278968
64	2309860	2264345
66	2344987	2265609
68	2328028	2303755
70	2337391	2283980
72	2333986	2278176
74	2359249	2269528
76	2346271	2307213
78	2367747	2280196
80	2353263	2281006
82	2382370	2303039
84	2370077	2324553
86	2390941	2316349
88	2379909	2320761
90	2413295	2326459
92	2390414	2348930
94	2416394	2349501
96	2398147	2353227
98	2432879	2359597
100	2407381	2394635
102	2439930	2368839
104	2424040	2381377
106	2452469	2384570
108	2432140	2409983
110	2467525	2398280
112	2450381	2401948
114	2478594	2410548
116	2460749	2438062
118	2483266	2418057
120	2465016	2423311
122	2497916	2427794
124	2478031	2460860
126	2504539	2440581
128	2490890	2437352
130	2512699	2453139
132	2507931	2476440
134	2538444	2469167
136	2509880	2467538
138	2541656	2478397
140	2524745	2499956
142	2559504	2485315
144	2545278	2489767
146	2570759	2498924
148	2550823	2519645
150	2579139	2510145
152	2555750	2515780
154	2583913	2531309
156	2574124	2552472
158	2594965	2536586
160	2579538	2546832
162	2613028	2545983
164	2590046	2568375
166	2620753	2560123
168	2606782	2568994
170	2634087	2568688
172	2608386	2596802
174	2631162	2575596
176	2622720	2579328
178	2647244	2581714
180	2627911	2612093
182	2661728	2593189
184	2651674	2603340
186	2677015	2609221
188	2652128	2636387
190	2689103	2622778
192	2671839	2623834
194	2702894	2627618
196	2668050	2658184
198	2701700	2640266
200	2697903	2654575
202	2722447	2648298
204	2698093	2680212
206	2734311	2657610
208	2702483	2667243
210	2741244	2671569
212	2721095	2696480
214	2750160	2688541
216	2734929	2686194
218	2762616	2686768
220	2742440	2714735
222	2772273	2709478
224	2746825	2708970
226	2778162	2711320
228	2768569	2743877
230	2787377	2733872
232	2769779	2735197
234	2809958	2741422
236	2781805	2768876
238	2815334	2756859
240	2804972	2757861
242	2829657	2755879
244	2803493	2789224
246	2828739	2779741
248	2820517	2778296
250	2852402	2783309
252	2827835	2812520
254	2861251	2795162
256	2838491	2794184
258	2871714	2811084
260	2853409	2838250
262	2881338	2810899
264	2874288	2827908
266	2892902	2829507
268	2873459	2853207
270	2898687	2843496
272	2891637	2842814
274	2915008	2855847
276	2891434	2882079
278	2932909	2861941
280	2910204	2863521
282	2937359	2869420
284	2924650	2897607
286	2953659	2887496
288	2939638	2890268
290	2959809	2890417
292	2944460	2917598
294	2973643	2908913
296	2963845	2901927
298	2990638	2912569
300	2977715	2945592
302	2996292	2928615
304	2984201	2931396
306	3011030	2933860
308	2996964	2959396
310	3015039	2951269
312	3005029	2955334
314	3026781	2957353
316	3015428	2982916
318	3031191	2971662
320	3020642	2967044
322	3063262	2971726
324	3040253	3007548
326	3064524	3003069
328	3048763	2998492
330	3073868	3003463
332	3057095	3031195
334	3084010	3014941
336	3077499	3018847
338	3102019	3030774
340	3081999	3051794
342	3100768	3046187
344	3089614	3040226
346	3118197	3051378
348	3097578	3089226
350	3131183	3063294
352	3102577	3058503
354	3133608	3073081
356	3120699	3094773
358	3152436	3085954
360	3133432	3098988
362	3152981	3100331
364	3139372	3121864
366	3168528	3109955
368	3158651	3109275
370	3179183	3115563
372	3168069	3139202
374	3188503	3128891
376	3166731	3128386
378	3200538	3127276
380	3193005	3163385
382	3215756	3141138
384	3197431	3150447
386	3220569	3159921
388	3221820	3184128
390	3234374	3167311
392	3216783	3172019
394	3243067	3173042
396	3240890	3207262
398	3255178	3192992
