padding	time taken	time taken (baseline)
0	1169247	2301699
2	1164841	2297815
4	1153313	2323247
6	1158997	2296566
8	1143347	2292902
10	1159982	2305112
12	1146698	2289996
14	1161572	2263547
16	1148074	2266462
18	1162340	2261163
20	1148641	2291012
22	1156782	2264884
24	1146566	2265593
26	1158410	2259611
28	1148322	2286942
30	1156293	2257858
32	1148710	2267791
34	1159825	2269151
36	1153610	2285025
38	1164106	2258552
40	1173144	2255777
42	1178884	2271800
44	1167517	2287799
46	1178767	2261596
48	1173605	2260765
50	1179190	2259418
52	1183828	2288975
54	1186741	2259329
56	1175632	2267689
58	1214402	2257320
60	1217110	2286799
62	1234666	2263647
64	1233632	2250346
66	1248143	2263007
68	1248351	2283798
70	1254674	2264800
72	1255038	2266327
74	1261418	2264373
76	1256383	2277282
78	1272769	2270764
80	1263527	2264966
82	1281841	2265750
84	1278267	2289321
86	1288169	2275293
88	1279741	2263271
90	1300158	2263275
92	1301997	2285898
94	1310848	2266886
96	1305259	2260298
98	1320403	2265699
100	1319813	2291956
102	1321101	2272350
104	1324734	2272304
106	1344890	2264262
108	1333819	2291381
110	1353650	2275837
112	1346457	2266226
114	1360489	2267001
116	1415044	2334302
118	1423815	2327865
120	1462243	2360322
122	1463877	2307086
124	2342489	2394087
126	2370967	2334579
128	2373694	2382061
130	2379474	2377492
132	2380259	2413516
134	2407496	2399541
136	2387953	2405551
138	2409196	2407740
140	2387808	2428648
142	2424633	2408680
144	2393421	2411485
146	2439174	2419389
148	2426025	2448994
150	2425868	2432847
152	2430062	2434305
154	2445893	2428723
156	2441853	2463555
158	2451606	2441818
160	2441774	2449533
162	2472345	2451108
164	2452310	2474626
166	2476711	2465754
168	2465263	2472805
170	2485569	2474899
172	2472462	2503078
174	2488699	2485039
176	2470699	2493410
178	2504093	2493395
180	2481041	2514851
182	2503686	2506813
184	2495818	2517529
186	2527631	2514526
188	2505917	2548731
190	2526675	2527608
192	2508727	2529767
194	2548076	2532020
196	2527013	2555595
198	2552443	2540727
200	2530288	2552110
202	2562518	2553203
204	2542681	2575954
206	2565482	2555361
208	2550654	2575795
210	2588535	2575005
212	2565481	2595704
214	2580815	2585853
216	2578210	2587320
218	2600594	2597241
220	2582120	2625957
222	2602286	2608026
224	2589419	2610932
226	2623789	2606316
228	2606695	2636451
230	2627562	2627624
232	2617235	2624639
234	2634670	2633291
236	2624078	2656020
238	2646081	2642440
240	2639245	2645488
242	2662585	2644120
244	2644429	2676681
246	2667715	2656171
248	2648328	2671973
250	2680639	2668809
252	2662997	2696649
254	2691615	2682984
256	2666107	2681600
258	2696241	2692813
260	2680844	2715131
262	2707565	2696287
264	2689859	2703271
266	2709261	2700705
268	2701035	2733282
270	2719521	2707777
272	2707822	2714453
274	2735718	2719637
276	2719996	2753897
278	2741273	2729691
280	2728432	2734425
282	2765193	2743391
284	2736044	2754770
286	2761282	2753880
288	2740872	2758735
290	2770395	2756343
292	2758136	2783995
294	2772420	2760987
296	2769459	2775962
298	2790041	2776595
300	2770676	2809839
302	2794645	2787866
304	2786164	2804264
306	2814829	2806365
308	2796230	2830017
310	2834674	2813903
312	2809016	2810434
314	2830624	2811145
316	2830985	2842650
318	2830777	2827977
320	2822902	2836565
322	2846312	2825704
324	2838628	2851086
326	2851715	2843847
328	2840571	2844168
330	2865243	2849852
332	2857904	2880036
334	2875590	2859012
336	2860985	2883714
338	2886052	2876951
340	2870499	2905407
342	2891638	2886165
344	2868467	2898090
346	2907056	2892697
348	2895683	2916612
350	2913941	2898601
352	2895832	2905832
354	2928713	2904475
356	2914739	2941853
358	2923361	2916317
360	2908984	2933157
362	2940014	2929930
364	2927634	2956004
366	2950465	2945560
368	2938909	2949339
370	2958425	2962437
372	2940191	2972835
374	2970721	2964128
376	2958056	2964701
378	2977103	2958196
380	2968290	2993811
382	2980868	2975132
384	2973373	2973102
386	2999628	2982035
388	2996073	3019072
390	3011565	3000246
392	2976472	3002526
394	3012892	3008296
396	3004437	3032732
398	3021719	3021725
