padding	time taken	time taken (baseline)
0	1168019	2324883
2	1164859	2311736
4	1148333	2347121
6	1161430	2314815
8	1151115	2317980
10	1162203	2314052
12	1152560	2305619
14	1165894	2282620
16	1153591	2281205
18	1163275	2292902
20	1161094	2301933
22	1182992	2280654
24	1157804	2289067
26	1166206	2275736
28	1187978	2307492
30	1197901	2283790
32	1193845	2279846
34	1186026	2276818
36	1176337	2310799
38	1184764	2280191
40	1178440	2272401
42	1191573	2280192
44	1224515	2319585
46	1234502	2283517
48	1230506	2278078
50	1241473	2277970
52	1246294	2309974
54	1254257	2286612
56	1251938	2288957
58	1264309	2281611
60	1258818	2310462
62	1276292	2282585
64	1270740	2278341
66	1280258	2281791
68	1277842	2305110
70	1290601	2284771
72	1290291	2277019
74	1304243	2284223
76	1301702	2301845
78	1314629	2289056
80	1317626	2287106
82	1326180	2288459
84	1345912	2319205
86	1443787	2325025
88	1810872	2360822
90	2299893	2377704
92	2357931	2398404
94	2382507	2402048
96	2368745	2392111
98	2393100	2411717
100	2386840	2426553
102	2402467	2419362
104	2381715	2408861
106	2426437	2423467
108	2404063	2446220
110	2426412	2436472
112	2415441	2436538
114	2444800	2446302
116	2423793	2464113
118	2452732	2458783
120	2426118	2454178
122	2456808	2451691
124	2443357	2492396
126	2464959	2464736
128	2455067	2475534
130	2471491	2477972
132	2467174	2505734
134	2485800	2492950
136	2459973	2499448
138	2490923	2492566
140	2479920	2551959
142	2503220	2508406
144	2489485	2512420
146	2513431	2527933
148	2500551	2549063
150	2519983	2528398
152	2508251	2526292
154	2531860	2533426
156	2519348	2569969
158	2538353	2542873
160	2531473	2546151
162	2550096	2558205
164	2540793	2576443
166	2555868	2570586
168	2550261	2573647
170	2570034	2571706
172	2565477	2610749
174	2575659	2583994
176	2569628	2590422
178	2589890	2593471
180	2572087	2619554
182	2605350	2608645
184	2583568	2612420
186	2606454	2627192
188	2597347	2654554
190	2621847	2632695
192	2607784	2637057
194	2640634	2640588
196	2624005	2665085
198	2640700	2652651
200	2628165	2650802
202	2655862	2665954
204	2640431	2681231
206	2665612	2676472
208	2654036	2680772
210	2676070	2670244
212	2669247	2708531
214	2684917	2699677
216	2670074	2692977
218	2697848	2702878
220	2679279	2740841
222	2701099	2711750
224	2692046	2733152
226	2711096	2716552
228	2698396	2742633
230	2721684	2750958
232	2709665	2735261
234	2727441	2735619
236	2721495	2776211
238	2745463	2754511
240	2725920	2756795
242	2759308	2763287
244	2736928	2775987
246	2759891	2770133
248	2747518	2774831
250	2776772	2779326
252	2762607	2808992
254	2784232	2789219
256	2776587	2791736
258	2785911	2822779
260	2778227	2825124
262	2797564	2817319
264	2794442	2822553
266	2826074	2820549
268	2807452	2850864
270	2831921	2845554
272	2819066	2842833
274	2831160	2845006
276	2833403	2876304
278	2849137	2865168
280	2847937	2868244
282	2867017	2868027
284	2839695	2889875
286	2879209	2879740
288	2860144	2884687
290	2882537	2899542
292	2868914	2914563
294	2892974	2898952
296	2897396	2901517
298	2908489	2920911
300	2890144	2933811
302	2913521	2926306
304	2900715	2932476
306	2927997	2932069
308	2915601	2955741
310	2944228	2937884
312	2928719	2951618
314	2941451	2954635
316	2940041	2977812
318	2963765	2962715
320	2951035	2973208
322	2966370	2974064
324	2959082	2996766
326	2988306	2978317
328	2973109	3004565
330	2991924	3008724
332	2984646	3020782
334	3004882	3003209
336	2998077	3022271
338	3014775	3019803
340	3010597	3044463
342	3028157	3040786
344	3017282	3032163
346	3036869	3045268
348	3026672	3058984
350	3058492	3054377
352	3033868	3057937
354	3067683	3072510
356	3046099	3091766
358	3078003	3080126
360	3054623	3088615
362	3078024	3085777
364	3074759	3118052
366	3093577	3101087
368	3077082	3109053
370	3104300	3110364
372	3085419	3135506
374	3111908	3133893
376	3102649	3133355
378	3121988	3131876
380	3119966	3175604
382	3139429	3139318
384	3125627	3151805
386	3147726	3151480
388	3136323	3174302
390	3166638	3170237
392	3145087	3185910
394	3168757	3164244
396	3168589	3199382
398	3177656	3182036
