padding	time taken	time taken (baseline)
0	1175699	2321467
2	1168553	2309251
4	1154674	2339350
6	1162736	2309736
8	1146464	2314024
10	1162199	2311421
12	1145646	2306225
14	1159145	2282190
16	1156761	2270827
18	1164106	2274197
20	1154309	2301915
22	1157897	2282472
24	1152345	2265165
26	1160336	2279454
28	1153175	2301256
30	1161428	2277265
32	1144065	2273040
34	1160244	2268701
36	1150502	2303522
38	1157055	2269118
40	1168371	2275378
42	1175662	2274793
44	1166192	2296981
46	1178037	2282493
48	1167900	2274610
50	1181452	2283581
52	1177125	2295581
54	1184073	2282645
56	1179285	2275686
58	1181611	2274597
60	1176061	2308231
62	1211007	2282893
64	1212980	2275918
66	1218773	2262212
68	1219534	2307429
70	1236889	2286527
72	1229917	2277348
74	1237111	2274719
76	1232929	2293983
78	1241122	2288266
80	1236545	2273404
82	1256541	2282689
84	1255000	2298862
86	1260683	2276000
88	1262774	2275336
90	1271835	2270190
92	1267667	2302072
94	1270523	2278747
96	1275220	2283130
98	1289467	2273545
100	1284530	2302411
102	1295786	2282403
104	1290329	2278830
106	1302446	2283629
108	1306081	2299839
110	1313727	2286086
112	1321106	2279007
114	1319464	2276310
116	1316961	2311374
118	1326730	2269650
120	1322021	2286685
122	1334160	2263548
124	1405798	2335457
126	2334650	2308807
128	2329160	2339999
130	2338429	2351019
132	2331863	2367374
134	2362029	2372054
136	2339586	2364825
138	2382374	2373033
140	2345457	2392473
142	2373603	2369102
144	2349544	2382029
146	2374993	2380996
148	2367464	2413018
150	2394511	2392848
152	2384098	2378455
154	2393536	2401446
156	2385057	2420132
158	2404863	2410151
160	2384853	2411245
162	2408058	2402644
164	2403384	2438914
166	2419045	2412059
168	2403424	2423901
170	2429185	2427673
172	2412180	2454735
174	2439315	2434778
176	2420320	2440389
178	2443202	2440716
180	2422000	2476502
182	2452662	2451891
184	2442384	2465676
186	2463393	2470465
188	2442102	2484583
190	2474680	2474522
192	2446968	2476520
194	2472940	2485422
196	2459194	2511111
198	2491047	2482169
200	2476627	2498375
202	2491687	2494446
204	2476708	2521842
206	2511111	2519828
208	2491982	2502198
210	2504726	2515641
212	2496410	2537040
214	2528962	2527727
216	2519299	2533785
218	2532443	2534770
220	2522481	2562383
222	2543440	2551298
224	2520128	2546041
226	2544144	2544083
228	2532506	2577337
230	2550763	2553092
232	2534161	2562629
234	2553497	2578298
236	2550829	2587265
238	2571610	2589729
240	2553533	2583535
242	2588104	2575730
244	2568915	2615165
246	2582782	2603802
248	2576749	2580529
250	2596285	2597365
252	2576475	2617789
254	2601164	2605926
256	2588854	2616327
258	2616108	2615343
260	2594402	2635015
262	2616498	2632526
264	2608448	2612601
266	2631778	2627722
268	2620417	2663831
270	2647352	2640077
272	2620571	2651820
274	2646247	2652254
276	2628799	2672378
278	2650800	2664594
280	2642675	2660714
282	2659670	2655479
284	2646873	2700269
286	2667759	2691101
288	2655407	2671800
290	2673635	2679813
292	2673562	2711367
294	2682811	2686436
296	2673474	2691369
298	2695741	2706102
300	2685255	2723507
302	2698271	2707025
304	2686780	2717113
306	2708969	2722727
308	2711940	2737555
310	2719749	2734497
312	2711939	2735690
314	2729138	2731548
316	2711892	2770401
318	2723667	2744840
320	2726419	2731978
322	2751219	2747657
324	2737465	2773251
326	2757722	2765074
328	2734715	2782531
330	2763696	2778002
332	2752713	2794394
334	2772286	2773752
336	2764087	2780233
338	2773947	2785834
340	2768810	2802977
342	2785125	2803271
344	2771574	2798925
346	2793746	2789784
348	2776180	2829453
350	2806670	2820774
352	2787141	2808948
354	2813696	2810409
356	2792983	2841327
358	2822602	2819584
360	2802310	2829254
362	2825258	2829891
364	2812907	2857743
366	2839843	2843226
368	2822849	2840213
370	2846500	2848555
372	2836403	2871525
374	2858610	2850896
376	2836556	2863492
378	2866950	2864040
380	2843814	2882850
382	2872421	2875124
384	2849608	2872167
386	2883698	2875753
388	2869654	2900054
390	2886820	2895577
392	2869013	2900522
394	2893777	2896613
396	2886142	2920768
398	2898210	2914715
