padding	time taken	time taken (baseline)
0	1168864	2310724
2	1162018	2313295
4	1150305	2334891
6	1163930	2313402
8	1147812	2309988
10	1158758	2307667
12	1151073	2300398
14	1163487	2275187
16	1153167	2266747
18	1160095	2270162
20	1155219	2298302
22	1162309	2286995
24	1153618	2273583
26	1163161	2281207
28	1168984	2304317
30	1178142	2282393
32	1165443	2280586
34	1181355	2270083
36	1178513	2296874
38	1182712	2273573
40	1177415	2280276
42	1189069	2269402
44	1208522	2304536
46	1232146	2271722
48	1227108	2267745
50	1257874	2267884
52	1254547	2300421
54	1252074	2273636
56	1251496	2278548
58	1270039	2278887
60	1262314	2297194
62	1277266	2277621
64	1268074	2273613
66	1280659	2276590
68	1285129	2299547
70	1290429	2279725
72	1286314	2277459
74	1307336	2271844
76	1306057	2299287
78	1309302	2285545
80	1315447	2277405
82	1327126	2281858
84	1338126	2317768
86	1482206	2323318
88	1831079	2348908
90	2297592	2368865
92	2348526	2397486
94	2385655	2377958
96	2367822	2388893
98	2392306	2396562
100	2376828	2425503
102	2400063	2404574
104	2389096	2404234
106	2415835	2418055
108	2397203	2444647
110	2432140	2426101
112	2412029	2429313
114	2427946	2434438
116	2415385	2469133
118	2443414	2446478
120	2427363	2446896
122	2448262	2461191
124	2439245	2480415
126	2454989	2473931
128	2438778	2472259
130	2466075	2467417
132	2455882	2498750
134	2480216	2481064
136	2461020	2488086
138	2486621	2486181
140	2476722	2512417
142	2502624	2501852
144	2484953	2500955
146	2511841	2513787
148	2496819	2545459
150	2514660	2520541
152	2507468	2531960
154	2535415	2535931
156	2513937	2551653
158	2532885	2543043
160	2517782	2548496
162	2543800	2544678
164	2545002	2576684
166	2552307	2570096
168	2542006	2566666
170	2568606	2569545
172	2560089	2604232
174	2571953	2571657
176	2560261	2587242
178	2588614	2587286
180	2572506	2619629
182	2600521	2607249
184	2586958	2604147
186	2603791	2612453
188	2589778	2633539
190	2618931	2622152
192	2602340	2637822
194	2627244	2642484
196	2611484	2662953
198	2634610	2647487
200	2631390	2645955
202	2652711	2649350
204	2631071	2683495
206	2656910	2663571
208	2648586	2663116
210	2670653	2676544
212	2653362	2697342
214	2688946	2681641
216	2666928	2688570
218	2692279	2698326
220	2675852	2720460
222	2697389	2700618
224	2685687	2711316
226	2710944	2715041
228	2695805	2739861
230	2714008	2724886
232	2706341	2729318
234	2729687	2732932
236	2725342	2761484
238	2743239	2742038
240	2717819	2751484
242	2751628	2748256
244	2736509	2770878
246	2752963	2761023
248	2736197	2770850
250	2770046	2776633
252	2757320	2790790
254	2780587	2786102
256	2762310	2784985
258	2798460	2778364
260	2774258	2818195
262	2793599	2811124
264	2784519	2802143
266	2811614	2813148
268	2802584	2852432
270	2815877	2832154
272	2809469	2827105
274	2828618	2842041
276	2817346	2870819
278	2848727	2850269
280	2834872	2849719
282	2848659	2856774
284	2831721	2887559
286	2867884	2866554
288	2850222	2875832
290	2875127	2884233
292	2867797	2907941
294	2896451	2889403
296	2883992	2900646
298	2911769	2899825
300	2884856	2928660
302	2909552	2921154
304	2896219	2929996
306	2920608	2931011
308	2916770	2948947
310	2937568	2955374
312	2914634	2946130
314	2944912	2947100
316	2931054	2972081
318	2949259	2962982
320	2938476	2969211
322	2969337	2967977
324	2958872	2996486
326	2983796	2987802
328	2958147	2987535
330	2985658	2988730
332	2974802	3013801
334	2997207	2998993
336	2990489	3012562
338	3019751	3014007
340	2995264	3038224
342	3020050	3022135
344	3005877	3030450
346	3033583	3034176
348	3017792	3060668
350	3048212	3048517
352	3035372	3052723
354	3063221	3045420
356	3049733	3083324
358	3063296	3071841
360	3041310	3077108
362	3080501	3077666
364	3070710	3101535
366	3088123	3090377
368	3075818	3089529
370	3094854	3106496
372	3081113	3126552
374	3110244	3111879
376	3107073	3124968
378	3124864	3124965
380	3109761	3151262
382	3134358	3129051
384	3122439	3145636
386	3141129	3144145
388	3135200	3173435
390	3158687	3160708
392	3143421	3162127
394	3161693	3166157
396	3148370	3201758
398	3174254	3185974
