padding	time taken	time taken (baseline)
0	1164069	2301660
2	1156328	2297777
4	1150908	2317592
6	1154301	2305401
8	1141957	2297372
10	1160165	2300491
12	1158529	2286575
14	1172410	2265335
16	1161111	2264621
18	1211071	2260511
20	1208833	2343391
22	1220717	2256423
24	1226958	2259151
26	1243597	2254377
28	1235870	2278482
30	1255979	2261411
32	1241462	2261796
34	1262176	2266113
36	1398495	2353638
38	2360182	2357933
40	2344415	2361269
42	2358722	2374868
44	2343176	2397084
46	2378933	2375496
48	2367111	2389566
50	2385852	2857524
52	2366660	2450088
54	2401055	2409104
56	2392422	2411625
58	2411612	2421896
60	2393774	2446714
62	2420241	2424074
64	2406014	2440471
66	2434622	2432082
68	2421025	2835832
70	2443093	2452457
72	2429462	2451031
74	2456714	2469805
76	2435674	2485204
78	2468332	2581206
80	2465306	2479267
82	2475921	2485316
84	2468240	2506143
86	2491293	2499903
88	2475540	2492704
90	2502274	2501320
92	2491188	2529088
94	2512015	2516449
96	2506594	2526665
98	2521431	2528040
100	2511321	2547990
102	2534211	2536958
104	2515468	2534820
106	2547015	2549769
108	2533665	2581732
110	2562260	2560966
112	2547991	2571264
114	2570402	2567842
116	2555408	2589898
118	2581218	2583555
120	2564935	2590734
122	2596159	2584170
124	2577473	2626617
126	2601329	2604442
128	2590933	2607917
130	2612585	2617616
132	2596985	2642557
134	2628792	2625215
136	2610840	2641806
138	2633383	2638529
140	2625212	2667036
142	2653016	2675097
144	2633312	2658996
146	2659160	2657931
148	2637649	2697372
150	2661499	2834993
152	2653877	2737984
154	2675980	2830769
156	2666407	2842200
158	2706911	2700437
160	2678923	2714092
162	2695352	2704610
164	2682777	2723924
166	2712940	2726731
168	2700734	2778104
170	2724686	2873703
172	2714946	2936560
174	2734660	2754468
176	2724662	2731434
178	2745032	2748221
180	2733655	2798037
182	2755448	2771551
184	2740145	2769441
186	2762615	3105091
188	2756643	2807783
190	2778024	2784825
192	2766425	2793008
194	2797157	2896094
196	2779679	2827923
198	2806987	2808985
200	2793856	2815368
202	2816600	2824049
204	2798620	2840156
206	2822880	2836270
208	2807093	2836991
210	2834571	2852412
212	2823187	2880909
214	2854203	2862165
216	2833859	2865258
218	2860394	2883845
220	2839790	2885972
222	2871915	2876666
224	2858419	2897109
226	2877779	2885014
228	2860121	2915050
230	2891837	2908174
232	2877916	2894290
234	2901226	2907192
236	2892482	2937262
238	2910048	2914543
240	2894760	2918766
242	2930438	2930629
244	2907816	2957283
246	2928236	2932987
248	2925436	2936499
250	2948478	2949097
252	2926723	2984644
254	2956594	2959666
256	2942039	2965009
258	2964999	2972880
260	2950522	2995766
262	2980537	2978414
264	2965705	2992769
266	2992001	3387862
268	2972712	3034043
270	3005053	3013647
272	2990885	3012636
274	3011362	3049556
276	2994218	3242962
278	3031534	3069551
280	3011488	3033608
282	3030125	3027567
284	3015020	3062577
286	3052940	3048585
288	3028064	3091349
290	3060430	3184834
292	3040040	3187289
294	3064053	3274372
296	3051282	3080012
298	3077939	3724698
300	3058766	4549436
302	3090347	3123936
304	3074806	3439882
306	3102706	3383214
308	3098905	3168685
310	3117850	3123989
312	3101271	3122840
314	3121079	3257237
316	3115021	3159963
318	3131578	3145204
320	3122491	3141578
322	3147524	3142494
324	3130937	3211889
326	3160844	3168558
328	3145195	3189675
330	3170877	3173865
332	3166001	3200765
334	3173532	3187258
336	3162883	3189997
338	3183932	3204433
340	3189723	3222515
342	3201713	3204707
344	3180717	3209121
346	3211488	3216885
348	3199394	3249690
350	3223662	3233986
352	3206706	3226644
354	3234342	3242181
356	3220797	3284540
358	3240529	3258212
360	3226613	3254694
362	3258314	3257740
364	3238205	3281616
366	3270118	3277972
368	3255826	3288761
370	3277597	3290533
372	3266865	3308905
374	3286501	3331158
376	3274293	3296837
378	3300660	3303794
380	3293327	3338065
382	3306390	3312320
384	3298192	3325988
386	3330670	3320181
388	3314028	3336695
390	3338152	3346693
392	3322226	3416238
394	3347928	3349057
396	3334879	3377052
398	3357572	3401143
