padding	time taken	time taken (baseline)
0	1166384	2297127
2	1163035	2297857
4	1151466	2319283
6	1153078	2287709
8	1133402	2286314
10	1151389	2299790
12	1143702	2286591
14	1149849	2258526
16	1146636	2260806
18	1163541	2256505
20	1144853	2281501
22	1153788	2265078
24	1151073	2254294
26	1156991	2259583
28	1156575	2275581
30	1167279	2264894
32	1167145	2254580
34	1175631	2252583
36	1168051	2281094
38	1182875	2261753
40	1170541	2258292
42	1174688	2244929
44	1199651	2286494
46	1230058	2268764
48	1215792	2264117
50	1234973	2255406
52	1239415	2284734
54	1240616	2267259
56	1235413	2264934
58	1256073	2258061
60	1249207	2286822
62	1263518	2259984
64	1268139	2253216
66	1279501	2254661
68	1269713	2281998
70	1287340	2264171
72	1285506	2260609
74	1291999	2257238
76	1287501	2282560
78	1308968	2270567
80	1297426	2257757
82	1318701	2264508
84	1366289	2295118
86	1410672	2309498
88	1782737	2338848
90	2270174	2357286
92	2344635	2381121
94	2369834	2367108
96	2350546	2372397
98	2372401	2381102
100	2363079	2406422
102	2396226	2385441
104	2365127	2404362
106	2405925	2402895
108	2381553	2419310
110	2422713	2405027
112	2405118	2411363
114	2409367	2413266
116	2399538	2443666
118	2429666	2419667
120	2409447	2435895
122	2442686	2437080
124	2410952	2466776
126	2449466	2454208
128	2432856	2454825
130	2458734	2466445
132	2444828	2487934
134	2466654	2471230
136	2465767	2477269
138	2472040	2483453
140	2449941	2506925
142	2492182	2486574
144	2474804	2486272
146	2500503	2498293
148	2481414	2523738
150	2493705	2503972
152	2502832	2513415
154	2510937	2510911
156	2497626	2544748
158	2530924	2530888
160	2513974	2528264
162	2538760	2533435
164	2525957	2558437
166	2539230	2539768
168	2536109	2550404
170	2551880	2547240
172	2530353	2583191
174	2567922	2567727
176	2555411	2566733
178	2577918	2568495
180	2560497	2597988
182	2579582	2582008
184	2572683	2590887
186	2605003	2596250
188	2569685	2622488
190	2611048	2608806
192	2594421	2609310
194	2610356	2606691
196	2602556	2644145
198	2639566	2628126
200	2611575	2629802
202	2644505	2642942
204	2625153	2664657
206	2651773	2637970
208	2646718	2653464
210	2660313	2657007
212	2635832	2682069
214	2683933	2678969
216	2652193	2674073
218	2677427	2672602
220	2671727	2703372
222	2686867	2688322
224	2669393	2688620
226	2701328	2698731
228	2689019	2724828
230	2704020	2713586
232	2696426	2714543
234	2711568	2709106
236	2704747	2738487
238	2731043	2732762
240	2712468	2726846
242	2741722	2731240
244	2723318	2767641
246	2732835	2751866
248	2720137	2748439
250	2760158	2745177
252	2745190	2778597
254	2750726	2770015
256	2746894	2770988
258	2787764	2785205
260	2760240	2803216
262	2785007	2785060
264	2784747	2788012
266	2805895	2795141
268	2777382	2824660
270	2814414	2810945
272	2807497	2814958
274	2816060	2820858
276	2805745	2849082
278	2841059	2834264
280	2826013	2839509
282	2841083	2840275
284	2830632	2871831
286	2868625	2856943
288	2831277	2862224
290	2866629	2858378
292	2864852	2891201
294	2884024	2878922
296	2865189	2877299
298	2889371	2886067
300	2889080	2916587
302	2894814	2900804
304	2893772	2902513
306	2923866	2903531
308	2911191	2935097
310	2912889	2923168
312	2916292	2918772
314	2938176	2931054
316	2914866	2952146
318	2938350	2941219
320	2944031	2947136
322	2963367	2963142
324	2937324	2973672
326	2969823	2961815
328	2957297	2978689
330	2977101	2972402
332	2957595	2998116
334	2996681	2982712
336	2984486	2990418
338	2998015	3001616
340	2984494	3021543
342	3013305	3006413
344	2996778	3016932
346	3018794	3014660
348	3011536	3043971
350	3034774	3028204
352	3013659	3034068
354	3048219	3040113
356	3020213	3067304
358	3058332	3042299
360	3051339	3057316
362	3066599	3071122
364	3045343	3091910
366	3081144	3069952
368	3069060	3080077
370	3096416	3095653
372	3070504	3113054
374	3116076	3096344
376	3086211	3098641
378	3101665	3107093
380	3093701	3136917
382	3110984	3118178
384	3098326	3123858
386	3164402	3130354
388	3121541	3154181
390	3141970	3139895
392	3115925	3138342
394	3157820	3153824
396	3137391	3173811
398	3160578	3167613
